Latitude;Longitude;Naam;Stad;Hoofdinstelling;Aantal locaties ;Hoofdlocatie;Aantal bedden;Opmerking bedden;Eerste poliklinische bezoeken (2018);Eerste poliklinische bezoeken (2022);Dagbehandelingen;Klinische opnames;Aantal medewerkers;Verzorgingsgebied;Sanquin uitwisseling;Partner [Ja/Nee];Contract datum;Straat;Nummer;Postcode;Type instelling;Type ziekenhuis;Aantal locaties norm.;Aantal bedden norm.;Eerste poliklinische bezoeken (2023) norm.;Dagbehandelingen norm.;Klinische opnames norm.;Aantal medewerkers norm.;Sanquin uitwisseling norm.;Som;Som norm.;Website
51,5400694;5,1038821;Microvida - Tilburg (Elisabeth-TweeSteden Ziekenhuis);Tilburg;Microvida;4;-;;;;;;;;;;Nee;;Hilvarenbeekseweg;60;5022 GC;Laboratorium;;;;;;;;;;;https://www.microvida.nl/
52,4791;4,6508698;MKA Kennemer & Meer - Beverwijk;Beverwijk;MKA Kennemer & Meer;2;-;;;;;;;;;;Nee;;;;;Private kliniek;;;;;;;;;;;
52,3814816;4,662553;MKA Kennemer & Meer - Haarlem;Haarlem;MKA Kennemer & Meer;2;-;;;;;;;;;;Nee;;;;;Private kliniek;;;;;;;;;;;
52,0432025;4,361357;MKA Kliniek - Den Haag;Den Haag;MKA Kliniek;3;-;;;;;;;;;;Nee;;;;;Private kliniek;;;;;;;;;;;
51,4379999;5,4807608;MKA Kliniek - Eindhoven;Eindhoven;MKA Kliniek;3;-;;;;;;;;;;Nee;;;;;Private kliniek;;;;;;;;;;;
52,1077233;5,0118829;MKA Kliniek - Utrecht;Utrecht;MKA Kliniek;3;-;;;;;;;;;;Nee;;;;;Private kliniek;;;;;;;;;;;
51,642578;5,9385775;MSD Animal Health - Boxmeer;Boxmeer;MDS;3;-;;;;;;;;;;Nee;;Wim de Körverstraat;35;5831 AN;Farmaceut;;;;;;;;;;;https://msd.nl/
51,7870534;5,5558374;MSD Biotech B.V. - Oss;Oss;MDS;3;-;;;;;;;;;;Nee;;Vollenhovermeer;2;5347 JV;Farmaceut;;;;;;;;;;;https://msd.nl/
52,0451181;4,3576652;Nederlands Forensisch Instituut;'s Gravenhage;;0;-;;;;;;;;;;Nee;;Laan van Ypenburg;6;2497 GB;Laboratorium;;;;;;;;;;;
52,0372556;4,3314634;Nederlands Moleculair Diagnostisch Laboratorium B.V.;Rijswijk;;0;-;;;;;;;;;;Nee;;Visseringlaan;25;2288 ER;Laboratorium;;;;;;;;;;;
52,1745716;5,4057262;Nederlands Slaap Instituut;Amersfoort;Nederlands Slaap Instituut;1;-;;;;;;;;;;Nee;;;;;Private kliniek;;;;;;;;;;;
52,1130663;5,2546414;Nederlandse Obesitas Kliniek;Huis ter Heide;Nederlandse Obesitas Kliniek;1;-;;;;;;;;;;Nee;;;;;Private kliniek;;;;;;;;;;;
52,2968377;5,2532605;Neprofarm;Huizen;Neprofarm;1;-;;;;;;;;;;Nee;;Huizermaatweg;354;1276 LK;Farmaceut;;;;;;;;;;;
53,09966126;6,111638222;Nij Smellinghe;Drachten;Nij Smellinghe ;1;Ja;265;;76414;65278;6410;9921;1630;;44;Nee;;;;;Ziekenhuis;Algemeen ;0,07;0,09;0,22;0,03;0,03;0,05;0,13;0,61;0,05;
52,62811399;4,735888965;Noordwest Ziekenhuisgroep - Alkmaar;Alkmaar;Noordwest Ziekenhuisgroep;7;Ja;829;;166430;133781;29964;30148;4840;;109;Nee;;Wilhelminalaan;131;1815HM;Ziekenhuis;;0,47;0,57;0,59;0,67;0,25;0,26;0,34;3,14;0,74;https://www.nwz.nl
52,6446007;4,7267174;Noordwest Ziekenhuisgroep - Alkmaar-Bergermeer;Alkmaar;Noordwest Ziekenhuisgroep;7;Nee;;;;;;;;;;Nee;;;;;Ziekenhuis;;;;;;;;;;;https://www.nwz.nl
52,9581653;4,744279388;Noordwest Ziekenhuisgroep - Den Helder;Den Helder;Noordwest Ziekenhuisgroep;7;Nee;;;;;;;;;63;Nee;;Huisduinerweg;3;1782 GZ;Ziekenhuis;;;;;;;;;;;https://www.nwz.nl
52,6691587;4,8229495;Noordwest Ziekenhuisgroep - Heerhugowaard;Heerhugowaard;Noordwest Ziekenhuisgroep;7;Nee;;;;;;;;;;Nee;;Stationsplein;49;1703WD;Ziekenhuis;;;;;;;;;;;https://www.nwz.nl
